Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
Karasjok - Markannjarga,SN97251,01.09.2004,10.2
Karasjok - Markannjarga,SN97251,02.09.2004,10.5
Karasjok - Markannjarga,SN97251,03.09.2004,12.6
Karasjok - Markannjarga,SN97251,04.09.2004,14.1
Karasjok - Markannjarga,SN97251,05.09.2004,13
Karasjok - Markannjarga,SN97251,06.09.2004,8.7
Karasjok - Markannjarga,SN97251,07.09.2004,5.5
Karasjok - Markannjarga,SN97251,08.09.2004,4.1
Karasjok - Markannjarga,SN97251,09.09.2004,5.9
Karasjok - Markannjarga,SN97251,10.09.2004,8.8
Karasjok - Markannjarga,SN97251,11.09.2004,4.5
Karasjok - Markannjarga,SN97251,12.09.2004,4.3
Karasjok - Markannjarga,SN97251,13.09.2004,2.8
Karasjok - Markannjarga,SN97251,14.09.2004,3.7
Karasjok - Markannjarga,SN97251,15.09.2004,3.4
Karasjok - Markannjarga,SN97251,16.09.2004,3.6
Karasjok - Markannjarga,SN97251,17.09.2004,2
Karasjok - Markannjarga,SN97251,18.09.2004,0
Karasjok - Markannjarga,SN97251,19.09.2004,3.1
Karasjok - Markannjarga,SN97251,20.09.2004,5.7
Karasjok - Markannjarga,SN97251,21.09.2004,8.1
Karasjok - Markannjarga,SN97251,22.09.2004,8.3
Karasjok - Markannjarga,SN97251,23.09.2004,9.1
Karasjok - Markannjarga,SN97251,24.09.2004,7.8
Karasjok - Markannjarga,SN97251,25.09.2004,8.2
Karasjok - Markannjarga,SN97251,26.09.2004,8.1
Karasjok - Markannjarga,SN97251,27.09.2004,7.7
Karasjok - Markannjarga,SN97251,28.09.2004,7.2
Karasjok - Markannjarga,SN97251,29.09.2004,4.7
Karasjok - Markannjarga,SN97251,30.09.2004,5.5
Karasjok - Markannjarga,SN97251,01.10.2004,3.7
Karasjok - Markannjarga,SN97251,02.10.2004,-1.6
Karasjok - Markannjarga,SN97251,03.10.2004,5.1
Karasjok - Markannjarga,SN97251,04.10.2004,4.3
Karasjok - Markannjarga,SN97251,05.10.2004,7.7
Karasjok - Markannjarga,SN97251,06.10.2004,6
Karasjok - Markannjarga,SN97251,07.10.2004,-0.4
Karasjok - Markannjarga,SN97251,08.10.2004,-3.4
Karasjok - Markannjarga,SN97251,09.10.2004,-1.6
Karasjok - Markannjarga,SN97251,10.10.2004,-1.5
Karasjok - Markannjarga,SN97251,11.10.2004,-1.6
Karasjok - Markannjarga,SN97251,12.10.2004,4.3
Karasjok - Markannjarga,SN97251,13.10.2004,5.3
Karasjok - Markannjarga,SN97251,14.10.2004,2.3
Karasjok - Markannjarga,SN97251,15.10.2004,-1.4
Karasjok - Markannjarga,SN97251,16.10.2004,0.8
Karasjok - Markannjarga,SN97251,17.10.2004,-2.4
Karasjok - Markannjarga,SN97251,18.10.2004,-5.2
Karasjok - Markannjarga,SN97251,19.10.2004,-0.3
Karasjok - Markannjarga,SN97251,20.10.2004,-0.3
Karasjok - Markannjarga,SN97251,21.10.2004,-1
Karasjok - Markannjarga,SN97251,22.10.2004,-0.8
Karasjok - Markannjarga,SN97251,23.10.2004,0.4
Karasjok - Markannjarga,SN97251,24.10.2004,0.7
Karasjok - Markannjarga,SN97251,25.10.2004,-1.9
Karasjok - Markannjarga,SN97251,26.10.2004,-2.2
Karasjok - Markannjarga,SN97251,27.10.2004,-0.9
Karasjok - Markannjarga,SN97251,28.10.2004,-2.6
Karasjok - Markannjarga,SN97251,29.10.2004,-5.4
Karasjok - Markannjarga,SN97251,30.10.2004,-8.6
Karasjok - Markannjarga,SN97251,31.10.2004,1.2
Karasjok - Markannjarga,SN97251,01.11.2004,-2.9
Karasjok - Markannjarga,SN97251,02.11.2004,1.6
Karasjok - Markannjarga,SN97251,03.11.2004,2.5
Karasjok - Markannjarga,SN97251,04.11.2004,-0.5
Karasjok - Markannjarga,SN97251,05.11.2004,-0.6
Karasjok - Markannjarga,SN97251,06.11.2004,-0.6
Karasjok - Markannjarga,SN97251,07.11.2004,0.1
Karasjok - Markannjarga,SN97251,08.11.2004,-1.2
Karasjok - Markannjarga,SN97251,09.11.2004,-2.9
Karasjok - Markannjarga,SN97251,10.11.2004,-1.1
Karasjok - Markannjarga,SN97251,11.11.2004,0.2
Karasjok - Markannjarga,SN97251,12.11.2004,0.4
Karasjok - Markannjarga,SN97251,13.11.2004,-5.6
Karasjok - Markannjarga,SN97251,14.11.2004,-15.9
Karasjok - Markannjarga,SN97251,15.11.2004,-5.6
Karasjok - Markannjarga,SN97251,16.11.2004,-10.2
Karasjok - Markannjarga,SN97251,17.11.2004,-12.6
Karasjok - Markannjarga,SN97251,18.11.2004,-19.2
Karasjok - Markannjarga,SN97251,19.11.2004,-17.7
Karasjok - Markannjarga,SN97251,20.11.2004,-28.2
Karasjok - Markannjarga,SN97251,21.11.2004,-30.4
Karasjok - Markannjarga,SN97251,22.11.2004,-28
Karasjok - Markannjarga,SN97251,23.11.2004,-22.9
Karasjok - Markannjarga,SN97251,24.11.2004,-14.5
Karasjok - Markannjarga,SN97251,25.11.2004,-4.1
Karasjok - Markannjarga,SN97251,26.11.2004,-5.8
Karasjok - Markannjarga,SN97251,27.11.2004,-16.7
Karasjok - Markannjarga,SN97251,28.11.2004,-17.3
Karasjok - Markannjarga,SN97251,29.11.2004,-22.5
Karasjok - Markannjarga,SN97251,30.11.2004,-5.8
Karasjok - Markannjarga,SN97251,01.12.2004,-8.3
Karasjok - Markannjarga,SN97251,02.12.2004,-11.6
Karasjok - Markannjarga,SN97251,03.12.2004,-18.9
Karasjok - Markannjarga,SN97251,04.12.2004,-6
Karasjok - Markannjarga,SN97251,05.12.2004,-18.3
Karasjok - Markannjarga,SN97251,06.12.2004,-23.8
Karasjok - Markannjarga,SN97251,07.12.2004,-11.9
Karasjok - Markannjarga,SN97251,08.12.2004,-6
Karasjok - Markannjarga,SN97251,09.12.2004,-8.1
Karasjok - Markannjarga,SN97251,10.12.2004,-5.8
Karasjok - Markannjarga,SN97251,11.12.2004,-11.5
Karasjok - Markannjarga,SN97251,12.12.2004,-13.8
Karasjok - Markannjarga,SN97251,13.12.2004,-15.6
Karasjok - Markannjarga,SN97251,14.12.2004,-3.1
Karasjok - Markannjarga,SN97251,15.12.2004,1.4
Karasjok - Markannjarga,SN97251,16.12.2004,-3.9
Karasjok - Markannjarga,SN97251,17.12.2004,-2.3
Karasjok - Markannjarga,SN97251,18.12.2004,0
Karasjok - Markannjarga,SN97251,19.12.2004,-1.2
Karasjok - Markannjarga,SN97251,20.12.2004,-8.7
Karasjok - Markannjarga,SN97251,21.12.2004,-16.1
Karasjok - Markannjarga,SN97251,22.12.2004,-4.5
Karasjok - Markannjarga,SN97251,23.12.2004,-10.8
Karasjok - Markannjarga,SN97251,24.12.2004,-8.7
Karasjok - Markannjarga,SN97251,25.12.2004,-6
Karasjok - Markannjarga,SN97251,26.12.2004,-10
Karasjok - Markannjarga,SN97251,27.12.2004,-27.3
Karasjok - Markannjarga,SN97251,28.12.2004,-6.9
Karasjok - Markannjarga,SN97251,29.12.2004,-1.5
Karasjok - Markannjarga,SN97251,30.12.2004,-1.2
Karasjok - Markannjarga,SN97251,31.12.2004,-0.2
Karasjok - Markannjarga,SN97251,01.01.2005,-6.5
Karasjok - Markannjarga,SN97251,02.01.2005,-7.5
Karasjok - Markannjarga,SN97251,03.01.2005,-2.7
Karasjok - Markannjarga,SN97251,04.01.2005,-7.5
Karasjok - Markannjarga,SN97251,05.01.2005,-4.1
Karasjok - Markannjarga,SN97251,06.01.2005,-7.2
Karasjok - Markannjarga,SN97251,07.01.2005,-6.9
Karasjok - Markannjarga,SN97251,08.01.2005,-9.6
Karasjok - Markannjarga,SN97251,09.01.2005,-16.1
Karasjok - Markannjarga,SN97251,10.01.2005,-19.9
Karasjok - Markannjarga,SN97251,11.01.2005,-7.9
Karasjok - Markannjarga,SN97251,12.01.2005,-7.9
Karasjok - Markannjarga,SN97251,13.01.2005,-7.6
Karasjok - Markannjarga,SN97251,14.01.2005,-9.6
Karasjok - Markannjarga,SN97251,15.01.2005,-22.4
Karasjok - Markannjarga,SN97251,16.01.2005,-23.3
Karasjok - Markannjarga,SN97251,17.01.2005,-6.7
Karasjok - Markannjarga,SN97251,18.01.2005,1.4
Karasjok - Markannjarga,SN97251,19.01.2005,1.2
Karasjok - Markannjarga,SN97251,20.01.2005,-1.1
Karasjok - Markannjarga,SN97251,21.01.2005,-4.6
Karasjok - Markannjarga,SN97251,22.01.2005,-7.4
Karasjok - Markannjarga,SN97251,23.01.2005,-11.4
Karasjok - Markannjarga,SN97251,24.01.2005,-26
Karasjok - Markannjarga,SN97251,25.01.2005,-20.7
Karasjok - Markannjarga,SN97251,26.01.2005,-15.2
Karasjok - Markannjarga,SN97251,27.01.2005,-20.9
Karasjok - Markannjarga,SN97251,28.01.2005,-7.2
